Course,CTitle,Year,Code,Title,Credit,Semester,Exam,CA,Resit Category
COMSCI,Computer Science,1,CA103,Computer Systems,5,Semester 1,0,100,1
COMSCI,Computer Science,1,CA106,Web Design,5,Semester 1,0,100,1
COMSCI,Computer Science,1,CA115,Digital Innovation Management & Enterprise,5,Semester 2,0,100,2
COMSCI,Computer Science,1,CA116,Computing Programming I,10,Semester 1,40,60,1
COMSCI,Computer Science,1,CA117,Computing Programming II,10,Semester 2,50,50,1
COMSCI,Computer Science,1,CA169,Networks & Internet,5,Semester 2,50,50,1
COMSCI,Computer Science,1,CA170,Introduction to Operating Systems,5,Semester 2,0,100,1
COMSCI,Computer Science,1,CA172,"Problem-solving,Creativity& Critical Thinking",5,Semester 1,0,100,1
COMSCI,Computer Science,1,MS134,IT Mathematics I,5,Semester 1,80,20,3
COMSCI,Computer Science,1,MS135,IT Mathematics II,5,Semester 2,80,20,3
COMSCI,Computer Science,2,CA208,Logic,5,Semester 2,50,50,1
COMSCI,Computer Science,2,CA214,Systems Analysis,5,Semester 1,0,100,1
COMSCI,Computer Science,2,CA216,Operating Systems,5,Semester 2,70,30,1
COMSCI,Computer Science,2,CA218,Introduction to Databases,5,Semester 2,,100,1
COMSCI,Computer Science,2,CA266,Probability & Statistics,5,Semester 1,80,20,1
COMSCI,Computer Science,2,CA267,Software Testing,5,Semester 2,,100,1
COMSCI,Computer Science,2,CA268,Computer Programming 3 (Data Struct. & Alg.),5,Semester 1,70,30,1
COMSCI,Computer Science,2,CA269,Computer Programming 4 (Object Oriented Prog),5,Semester 2,70,30,1
COMSCI,Computer Science,2,CA282,Introduction to DevOps,5,Semester 1,0,100,2
COMSCI,Computer Science,2,CA284,Systems Programming,5,Semester 1,0,100,1
COMSCI,Computer Science,2,CA298,Full Stack Development,5,Semester 2,0,100,2
COMSCI,Computer Science,2,MS200,Linear Algebra,5,Semester 1,80,20,3
COMSCI,Computer Science,3,CA304,Computer Networks 2,5,Semester 1,75,25,1
COMSCI,Computer Science,3,CA3109,Machine Learning,5,Semester 2,,100,1
COMSCI,Computer Science,3,CA314,OO Analysis and Design,5,Semester 1,75,25,1
COMSCI,Computer Science,3,CA318,Advanced Algorithms and A.I. Search,5,Semester 1,75,25,1
COMSCI,Computer Science,3,CA320,Computability and Complexity,5,Semester 1,75,25,1
COMSCI,Computer Science,3,CA326,Year 3 Project,15,Semester 2,0,100,2
COMSCI,Computer Science,3,CA341,Comparative Programming Languages,5,Semester 1,0,100,1
COMSCI,Computer Science,3,CA357,User Interface Design and Implementation,5,Semester 1,0,100,2
COMSCI,Computer Science,3,CA360,Communication Skills,5,Semester 2,0,100,2
COMSCI,Computer Science,3,CA361,IT Architecture,5,Semester 2,0,100,1
COMSCI,Computer Science,3,CA366,INTRA,10,Semester 2,0,100,2
COMSCI,Computer Science,3,CA369,SEMESTER ONE ABROAD,30,Semester 1,0,100,2
COMSCI,Computer Science,4,CA400,Project,15,Year long,0,100,2
